UserId,Influenced Billboards
125,"{589: 1.52678571428571, 2820: 0.157738095238095, 2860: 0.892857142857143, 4670: 0.452380952380952}"
126,"{2831: 0.4375, 3659: 0.858630952380952, 4058: 1.38690476190476}"
127,"{70: 0.595238095238095, 2333: 1.77083333333333, 4007: 0.395833333333333}"
128,"{970: 0.785714285714286, 2985: 0.5625, 2311: 0.428571428571429, 4013: 0.989583333333333}"
129,"{3973: 0.526785714285714, 4158: 0.703869047619048}"
130,"{570: 0.382440476190476, 2045: 1.25892857142857}"
131,"{284: 0.764880952380952, 1980: 0.714285714285714, 2151: 1.58333333333333}"
132,{3794: 0.21577380952381}
133,"{676: 1.89732142857143, 2468: 0.654761904761905, 3629: 0.392857142857143}"
134,"{2587: 0.580357142857143, 2383: 0.285714285714286, 2421: 1.06845238095238, 3154: 0.703869047619048, 4161: 1.72321428571429}"
135,"{2355: 0.693452380952381, 3192: 0.194940476190476, 4209: 0.936011904761905}"
136,"{1105: 1.22767857142857, 2614: 0.141369047619048, 3830: 0.8125}"
137,"{207: 0.977678571428571, 2662: 1.48214285714286, 2035: 0.516369047619048}"
138,{360: 1.30952380952381}
139,{3041: 0.837797619047619}
140,{924: 0.546130952380952}
141,"{999: 0.196428571428571, 3095: 0.227678571428571}"
142,{}
143,"{1453: 0.50297619047619, 1700: 0.696428571428571, 3868: 0.738095238095238, 3266: 0.491071428571429, 4302: 1.97619047619048}"
144,"{8: 1.5297619047619, 257: 0.794642857142857, 1008: 0.168154761904762, 3222: 0.595238095238095, 4251: 0.96875}"
145,"{2637: 1.50595238095238, 1639: 0.254464285714286, 1748: 0.479166666666667, 2005: 1.68452380952381, 2276: 0.313988095238095}"
146,{119: 0.191964285714286}
147,"{201: 0.825892857142857, 3902: 0.964285714285714}"
148,{}
149,{3846: 1.36607142857143}
150,"{1050: 0.258928571428571, 1668: 1.84821428571429, 3261: 0.205357142857143, 4296: 0.936011904761905}"
151,"{326: 1.17857142857143, 764: 0.53422619047619, 1987: 0.552083333333333}"
152,{1058: 0.982142857142857}
153,{2251: 1.25446428571429}
154,"{471: 0.178571428571429, 1359: 0.825892857142857, 1411: 0.980654761904762, 1738: 0.491071428571429, 3215: 0.675595238095238, 4238: 0.71577380952381}"
155,"{419: 0.290178571428571, 2669: 0.279761904761905, 1596: 2.25, 2055: 0.860119047619048, 2496: 1.7827380952381, 3328: 0.974702380952381, 4383: 0.288690476190476}"
156,"{1744: 0.936011904761905, 2338: 1.13690476190476, 3332: 1.02083333333333, 4387: 1.17261904761905}"
157,"{1544: 1.69047619047619, 3779: 1.29761904761905, 4012: 0.99702380952381, 4047: 0.647321428571429}"
158,{}
159,"{438: 0.12797619047619, 1436: 0.24702380952381}"
160,{2559: 0.998511904761905}
161,"{282: 0.385416666666667, 823: 0.321428571428571, 1364: 0.864583333333333}"
162,{1303: 1.88095238095238}
163,"{1367: 1.35714285714286, 2921: 1.83928571428571}"
164,"{2460: 0.181547619047619, 3791: 0.837797619047619}"
165,"{2826: 0.68452380952381, 1545: 0.995535714285714, 1713: 1.24404761904762}"
166,"{109: 0.956845238095238, 455: 0.803571428571429, 1237: 0.294642857142857, 2915: 0.717261904761905, 3066: 0.918154761904762, 1910: 1.05357142857143}"
167,{1494: 2.21428571428571}
168,"{871: 0.386904761904762, 3305: 0.316964285714286, 4347: 2.41517857142857, 4357: 0.96577380952381}"
169,"{163: 1.8452380952381, 949: 0.355654761904762, 1067: 0.28125}"
170,"{518: 0.525297619047619, 2935: 0.578869047619048, 3184: 1.49107142857143, 4197: 2.35267857142857}"
171,{67: 1.85714285714286}
172,"{3352: 0.688988095238095, 4411: 0.875, 4708: 0.65922619047619}"
173,"{308: 0.480654761904762, 607: 0.916666666666667, 966: 0.953869047619047, 1239: 2.86607142857143, 3903: 1.06696428571429}"
174,"{467: 0.318452380952381, 1863: 0.790178571428571, 1982: 1.32142857142857, 2093: 0.602678571428571}"
175,"{676: 1.89732142857143, 798: 1.5952380952381, 801: 0.330357142857143, 2997: 0.172619047619048, 2235: 0.782738095238095, 3578: 0.181547619047619, 4693: 0.617559523809524, 4700: 0.87797619047619}"
176,{}
177,"{1210: 0.541666666666667, 3631: 2.39732142857143, 3318: 0.78422619047619, 4370: 0.447916666666667}"
178,"{802: 1.75, 945: 1.81845238095238, 1703: 1.80654761904762, 2129: 0.629464285714286, 4401: 0.495535714285714}"
179,{}
180,"{3194: 0.741071428571429, 4212: 0.93452380952381}"
181,"{33: 0.992559523809524, 3688: 0.22172619047619, 4303: 0.270833333333333}"
182,{495: 1.43154761904762}
183,"{632: 0.665178571428571, 664: 2.5297619047619}"
184,{2329: 1.20089285714286}
185,"{2064: 0.337797619047619, 2360: 0.194940476190476}"
186,{1965: 0.416666666666667}
187,"{2462: 0.755952380952381, 3704: 0.540178571428571, 3278: 0.239583333333333, 4324: 0.876488095238095}"
188,"{627: 0.665178571428571, 1360: 0.321428571428571, 1598: 0.404761904761905, 2027: 0.581845238095238}"
189,"{6: 1.92857142857143, 14: 0.74702380952381, 399: 0.532738095238095, 2501: 0.803571428571429}"
190,{1421: 0.842261904761905}
191,"{1193: 0.803571428571429, 1358: 0.727678571428571}"
192,{2007: 0.313988095238095}
193,"{149: 0.291666666666667, 1787: 0.369047619047619, 1852: 0.483630952380952}"
194,"{1325: 1.86904761904762, 1873: 0.665178571428571, 2455: 1.09821428571429}"
195,"{203: 0.558035714285714, 3045: 0.196428571428571, 1430: 0.944940476190476, 3447: 0.136904761904762, 4529: 0.261904761904762}"
196,"{426: 0.555059523809524, 3467: 0.81547619047619, 4555: 1.29166666666667}"
197,"{1708: 0.461309523809524, 1766: 0.633928571428571, 1950: 0.144345238095238, 4162: 1.75892857142857}"
198,"{971: 0.266369047619048, 2764: 0.166666666666667}"
199,"{1051: 0.794642857142857, 1176: 0.639880952380952, 2577: 0.290178571428571, 1487: 1.92261904761905, 2419: 1.58928571428571, 4549: 0.947916666666667}"
200,"{411: 1.0327380952381, 2924: 0.352678571428571, 3038: 0.660714285714286, 3112: 1.05059523809524, 3399: 0.238095238095238, 4106: 0.324404761904762, 4467: 0.380952380952381}"
201,"{606: 0.547619047619048, 921: 0.59375, 1282: 0.907738095238095, 1806: 0.6875, 2161: 0.895833333333333}"
202,"{371: 0.94047619047619, 867: 0.491071428571429, 1890: 0.244047619047619, 3246: 0.126488095238095, 4281: 0.318452380952381}"
203,{}
204,"{620: 1.45535714285714, 2624: 0.8125}"
205,{}
206,{}
207,"{427: 0.988095238095238, 1796: 0.991071428571429, 3241: 0.889880952380952, 3552: 0.889880952380952, 4276: 0.773809523809524, 4658: 0.785714285714286}"
208,"{674: 0.141369047619048, 925: 0.336309523809524, 2341: 1.55654761904762, 3895: 0.211309523809524}"
209,"{192: 0.27827380952381, 868: 0.505952380952381, 1466: 1.08333333333333, 3565: 0.944940476190476, 4676: 0.985119047619047}"
210,"{37: 0.495535714285714, 4069: 0.419642857142857, 3267: 1.0625, 4305: 1.16071428571429}"
211,"{1418: 0.99702380952381, 3631: 2.39732142857143, 4003: 1.5297619047619, 4134: 2.67857142857143}"
212,"{1266: 1.53869047619048, 2662: 1.48214285714286, 2017: 0.297619047619048}"
213,"{3749: 0.726190476190476, 3763: 0.930059523809524, 3342: 0.708333333333333, 3367: 0.955357142857143, 4398: 0.363095238095238, 4431: 2.05803571428571}"
214,{2654: 0.166666666666667}
215,{3096: 0.264880952380952}
216,"{3862: 0.946428571428571, 3160: 0.370535714285714, 4167: 0.96577380952381}"
217,"{166: 0.770833333333333, 900: 0.827380952380952, 2738: 0.866071428571429}"
218,"{913: 2.20238095238095, 1297: 1.94047619047619, 3070: 0.772321428571429}"
219,"{1350: 0.943452380952381, 1399: 0.282738095238095, 2266: 0.494047619047619, 2385: 1.40178571428571, 3306: 0.931547619047619, 4358: 1.95982142857143}"
220,"{626: 0.863095238095238, 1089: 1.54464285714286, 1604: 1.07738095238095, 2400: 0.373511904761905, 2456: 1.2797619047619}"
221,"{1: 0.21577380952381, 592: 0.428571428571429, 2598: 0.962797619047619, 1419: 0.950892857142857, 4133: 1.625, 4491: 1.7202380952381, 4561: 1.82589285714286}"
222,"{526: 0.598214285714286, 1940: 0.775297619047619, 3980: 0.691964285714286}"
223,"{1920: 1.08333333333333, 2142: 0.80952380952381}"
224,"{541: 0.928571428571429, 2369: 0.401785714285714}"
225,"{1432: 1.6577380952381, 3448: 0.958333333333333, 3508: 0.217261904761905, 4530: 0.854166666666667, 4600: 1.29464285714286}"
226,"{398: 0.37202380952381, 913: 2.20238095238095, 2903: 0.488095238095238, 1781: 0.967261904761905}"
227,"{800: 1.5625, 1267: 0.788690476190476, 4100: 1.2172619047619, 3306: 0.931547619047619, 4358: 1.95982142857143}"
228,"{1986: 0.866071428571429, 2062: 0.788690476190476, 2352: 0.62797619047619, 4405: 0.488095238095238}"
229,"{2388: 0.293154761904762, 3138: 0.991071428571429, 4143: 0.675595238095238}"
230,{670: 1.77083333333333}
231,{3947: 0.547619047619048}
232,"{2091: 0.479166666666667, 3176: 0.901785714285714, 4186: 0.494047619047619}"
233,"{63: 0.772321428571429, 3104: 1.63392857142857}"
234,"{1505: 0.291666666666667, 3455: 0.203869047619048, 4311: 0.407738095238095, 4540: 0.27827380952381}"
235,"{188: 0.633928571428571, 2916: 0.494047619047619, 1401: 0.175595238095238}"
236,"{634: 0.97172619047619, 969: 0.345238095238095}"
237,"{1525: 0.331845238095238, 2523: 0.866071428571429, 3632: 1.30357142857143}"
238,{1481: 0.866071428571429}
239,"{599: 1.4375, 870: 0.59077380952381, 2698: 3.0297619047619, 2438: 0.459821428571429, 3869: 0.12797619047619}"
240,"{173: 1.06845238095238, 321: 0.898809523809524}"
241,"{1240: 0.699404761904762, 1752: 0.191964285714286, 3510: 0.65922619047619, 4602: 1.80357142857143}"
242,{637: 0.788690476190476}
243,"{464: 0.413690476190476, 698: 0.598214285714286, 2936: 1.2797619047619}"
244,{1046: 0.779761904761905}
245,"{35: 1.22321428571429, 2622: 1.22916666666667, 1476: 0.24702380952381}"
246,"{222: 1.47916666666667, 260: 0.959821428571429}"
247,"{2288: 0.635416666666667, 2377: 0.486607142857143}"
248,"{550: 0.389880952380952, 2593: 0.208333333333333, 3715: 3.89285714285714, 3121: 0.961309523809524, 4115: 0.895833333333333}"
249,"{23: 0.522321428571429, 3195: 0.31547619047619, 4214: 0.666666666666667}"
250,"{1198: 2.02380952380952, 1457: 0.552083333333333, 1961: 1.19047619047619, 2014: 0.644345238095238}"
251,"{1777: 0.919642857142857, 3458: 1.29166666666667, 4544: 1.39880952380952}"
252,"{3094: 0.21577380952381, 3368: 0.595238095238095, 4432: 0.160714285714286}"
253,{3617: 0.97172619047619}
254,"{378: 1.4077380952381, 943: 0.386904761904762, 976: 0.37797619047619, 2555: 1.2797619047619, 1448: 1.63095238095238, 2105: 0.575892857142857}"
255,"{1286: 0.870535714285714, 1716: 0.476190476190476, 4629: 1.95535714285714}"
256,"{1439: 0.922619047619047, 3534: 0.444940476190476, 4636: 0.803571428571429}"
257,"{1190: 2.03571428571429, 1989: 0.700892857142857, 2171: 0.635416666666667, 3332: 1.02083333333333, 4387: 1.17261904761905}"
258,"{857: 1.28125, 2403: 0.464285714285714}"
259,"{602: 0.864583333333333, 2574: 0.275297619047619, 2882: 0.380952380952381, 2957: 0.28125, 2326: 0.75}"
260,"{707: 1.70238095238095, 3047: 0.55952380952381, 4211: 0.828869047619048, 4679: 1.90178571428571}"
261,"{667: 0.357142857142857, 1049: 0.21577380952381, 2564: 0.955357142857143, 2763: 0.900297619047619, 3078: 0.931547619047619, 1809: 0.388392857142857, 3229: 0.587797619047619, 4262: 0.839285714285714}"
262,"{3133: 2.90178571428571, 4135: 1.55357142857143}"
263,{}
264,{615: 1.01488095238095}
265,"{1255: 0.400297619047619, 1279: 0.474702380952381}"
266,"{974: 1.08928571428571, 2938: 1.45238095238095, 2182: 0.696428571428571, 3430: 0.660714285714286, 4507: 0.991071428571429, 4597: 0.433035714285714}"
267,"{125: 2.54464285714286, 161: 0.40625, 1087: 0.549107142857143, 3835: 0.188988095238095, 3371: 0.879464285714286, 4427: 0.55952380952381, 4435: 0.87797619047619}"
268,"{1080: 0.991071428571429, 2494: 2.17410714285714, 3638: 0.802083333333333, 3462: 0.336309523809524, 4550: 0.732142857142857}"
269,"{30: 0.410714285714286, 1203: 2.70535714285714, 1204: 1.67857142857143, 3575: 0.452380952380952, 4577: 1.47321428571429, 4689: 1.2172619047619}"
270,"{3357: 0.178571428571429, 4417: 0.27827380952381}"
271,"{1382: 0.949404761904762, 2754: 0.145833333333333, 2939: 0.898809523809524, 3691: 0.574404761904762}"
272,"{832: 1.86607142857143, 2851: 0.866071428571429, 2863: 0.373511904761905}"
273,"{887: 0.529761904761905, 2076: 0.392857142857143, 2289: 2.93303571428571}"
274,"{252: 0.998511904761905, 829: 1.5327380952381, 2218: 0.633928571428571}"
275,"{274: 1.875, 531: 0.848214285714286, 906: 0.967261904761905, 2625: 0.922619047619047, 3382: 0.389880952380952, 4448: 0.970238095238095}"
276,{2393: 0.529761904761905}
277,"{3123: 1.3452380952381, 4117: 0.90922619047619, 4621: 0.647321428571429}"
278,"{995: 0.571428571428571, 1077: 0.296130952380952, 1243: 1.7172619047619, 3926: 0.93452380952381, 4602: 1.80357142857143}"
279,"{454: 0.924107142857143, 664: 2.5297619047619, 2806: 0.946428571428571, 1894: 0.818452380952381}"
280,"{82: 0.976190476190476, 636: 1.63690476190476, 815: 1.69047619047619}"
281,"{379: 0.53125, 1271: 0.592261904761905, 2179: 0.677083333333333, 3737: 0.334821428571429, 3743: 0.15922619047619}"
282,"{38: 0.46577380952381, 2837: 0.258928571428571}"
283,"{1254: 1.53125, 2594: 1.58928571428571, 3919: 1.51785714285714}"
284,"{263: 0.575892857142857, 2521: 0.191964285714286}"
285,{1696: 0.514880952380952}
286,{443: 1.08928571428571}
287,"{88: 0.875, 2832: 1.75892857142857, 1504: 0.882440476190476, 1754: 0.291666666666667}"
288,"{2155: 0.22172619047619, 3339: 1.95238095238095, 3365: 0.1875, 4395: 1.75595238095238, 4428: 0.775297619047619}"
289,"{108: 1.69642857142857, 1019: 0.876488095238095, 2586: 0.375, 1535: 0.857142857142857, 2296: 0.898809523809524}"
290,"{54: 0.998511904761905, 1150: 0.700892857142857, 2511: 0.74702380952381, 3437: 0.404761904761905, 4515: 0.391369047619048}"
291,"{152: 0.473214285714286, 3343: 0.738095238095238, 4400: 0.998511904761905}"
292,"{1133: 0.407738095238095, 1511: 1.50297619047619}"
293,"{312: 0.907738095238095, 895: 1.04166666666667, 3504: 0.188988095238095, 4595: 0.766369047619048}"
294,"{1347: 2.86607142857143, 2883: 0.552083333333333}"
295,"{945: 1.81845238095238, 1154: 0.77827380952381, 2767: 0.461309523809524, 3253: 0.735119047619048, 4288: 0.25297619047619, 4541: 1.54166666666667}"
296,"{747: 2.05357142857143, 1974: 0.296130952380952, 3731: 0.233630952380952}"
297,{}
298,"{2717: 0.306547619047619, 2156: 0.918154761904762, 3123: 1.3452380952381}"
299,"{1460: 1.80357142857143, 3390: 2.18303571428571, 4457: 1.61607142857143}"
300,"{393: 1.4077380952381, 2206: 0.15327380952381, 3963: 0.123511904761905}"
301,{3053: 0.568452380952381}
302,"{719: 0.416666666666667, 1831: 0.413690476190476, 3242: 0.623511904761905, 4277: 0.532738095238095}"
303,"{806: 0.40625, 2666: 0.337797619047619, 2701: 0.75, 2452: 0.255952380952381}"
304,"{716: 0.625, 2838: 0.190476190476191, 1604: 1.07738095238095, 2039: 0.84672619047619, 2476: 1.25595238095238}"
305,{}
306,"{128: 0.739583333333333, 648: 0.370535714285714, 2778: 0.726190476190476, 1519: 0.205357142857143, 3264: 1.14285714285714, 4299: 1.625}"
307,"{2999: 1.43303571428571, 1706: 1.58928571428571}"
308,"{752: 0.300595238095238, 3220: 0.130952380952381, 4245: 0.599702380952381}"
309,"{15: 0.647321428571429, 2872: 3.67857142857143, 2876: 0.668154761904762, 3089: 0.212797619047619, 3108: 0.336309523809524, 1664: 1.55357142857143, 1859: 0.12797619047619, 3988: 0.177083333333333, 3262: 0.989583333333333, 4297: 0.751488095238095}"
310,"{982: 0.412202380952381, 1827: 2.15625, 3523: 0.477678571428571, 4618: 1.26785714285714}"
311,"{2732: 0.632440476190476, 3235: 0.422619047619048, 3512: 0.574404761904762, 4269: 0.12797619047619, 4604: 0.190476190476191}"
312,"{948: 0.303571428571429, 1134: 2.60714285714286, 1281: 0.348214285714286, 4406: 0.342261904761905, 4625: 0.200892857142857}"
313,"{1131: 0.991071428571429, 2595: 0.275297619047619, 3670: 0.150297619047619, 4327: 0.327380952380952}"
314,{}
315,"{694: 1.90625, 3930: 0.227678571428571, 3383: 0.544642857142857, 4450: 0.852678571428571}"
316,"{434: 0.763392857142857, 2704: 0.56547619047619}"
317,"{462: 0.816964285714286, 2736: 0.169642857142857, 1985: 0.449404761904762}"
318,"{2858: 0.806547619047619, 2398: 0.273809523809524, 3891: 1.56547619047619}"
