UserId,Influenced Billboards
12,"{1033: 0.0115999235400936, 1034: 0.0231998470801873, 1035: 0.0115999235400936, 1039: 0.0115999235400936, 1040: 0.0115999235400936, 1041: 0.0115999235400936, 1042: 0.0115999235400936, 1043: 0.0115999235400936, 1044: 0.0115999235400936, 1046: 0.0463996941603746, 1047: 0.0115999235400936, 1048: 0.0115999235400936, 1049: 0.0115999235400936, 1050: 0.0115999235400936, 1052: 0.0115999235400936, 1053: 0.0231998470801873, 1054: 0.0231998470801873, 1056: 0.0231998470801873, 1057: 0.0115999235400936, 1058: 0.0115999235400936, 1059: 0.0231998470801873, 1062: 0.0115999235400936, 1070: 0.0115999235400936, 1071: 0.0231998470801873, 1072: 0.0115999235400936, 1076: 0.0115999235400936, 1077: 0.0115999235400936, 1078: 0.0115999235400936, 1079: 0.0115999235400936, 1080: 0.0115999235400936, 1081: 0.0115999235400936, 1083: 0.0463996941603746, 1084: 0.0115999235400936, 1085: 0.0115999235400936, 1086: 0.0115999235400936, 1087: 0.0115999235400936, 1089: 0.0115999235400936, 1090: 0.0231998470801873, 1091: 0.0231998470801873, 1093: 0.0231998470801873, 1094: 0.0115999235400936, 1095: 0.0115999235400936, 1096: 0.0231998470801873, 1099: 0.0115999235400936, 2169: 0.0707254133613686, 2170: 0.0707254133613686, 2171: 0.0707254133613686, 2172: 0.0707254133613686, 2175: 0.0707254133613686, 2206: 0.0707254133613686, 2231: 0.0707254133613686, 2232: 0.0707254133613686, 2855: 0.0799961770046831, 4012: 0.0688139157029532, 4604: 0.0466644365860651, 4607: 0.0466644365860651, 4610: 0.0466644365860651, 4673: 0.0466644365860651, 4677: 0.0466644365860651, 4708: 0.0933288731721303, 4709: 0.0466644365860651, 4985: 0.0430086973143457, 5062: 0.2245340724457613, 5257: 0.098143457899264, 5584: 0.057344929752461, 5609: 0.057344929752461, 8302: 0.0321131606613781, 9303: 0.3690146229570868, 9386: 0.0384688903756092, 10297: 0.0057344929752461, 10498: 0.0057344929752461, 10699: 0.0057344929752461}"
13,{1849: 1.9999044251170792}
14,{}
15,"{1963: 0.0443467456752365, 1982: 0.1773869827009462, 2298: 0.0298193634712797, 2618: 0.0596387269425595, 2789: 0.1066615693395775, 2794: 0.0266653923348943, 2795: 0.0533307846697887, 2801: 0.0799961770046831, 2802: 0.0266653923348943, 2833: 0.0533307846697887, 2852: 0.0266653923348943, 2853: 0.0799961770046831, 2860: 0.0266653923348943, 2861: 0.0266653923348943, 2862: 0.0266653923348943, 2863: 0.0266653923348943, 2865: 0.0266653923348943, 2867: 0.0266653923348943, 2869: 0.0533307846697887, 2886: 0.1720347892573831, 2904: 0.057344929752461, 3538: 0.0604989008888464, 3556: 0.0403326005925642, 3748: 0.0226665392334894, 4163: 0.2508840676670171, 4195: 0.0516104367772149, 4222: 0.0129026091943037, 4309: 0.0387078275829112, 4311: 0.0387078275829112, 4356: 0.0387078275829112, 4362: 0.0516104367772149, 4777: 0.0471834082003249, 4854: 0.0458759438019688, 4948: 0.0380426263977826, 4997: 0.2245340724457613, 5002: 0.0748446908152537, 5003: 0.1496893816305075, 5009: 0.1496893816305075, 5010: 0.0748446908152537, 5034: 0.0748446908152537, 5059: 0.2245340724457613, 5060: 0.2245340724457613, 5067: 0.1496893816305075, 5068: 0.0748446908152537, 5069: 0.1496893816305075, 5070: 0.0748446908152537, 5072: 0.1496893816305075, 5074: 0.0748446908152537, 5075: 0.0748446908152537, 5183: 0.0588860747395584, 5188: 0.0196286915798528, 5189: 0.0392573831597056, 5196: 0.0392573831597056, 5197: 0.0196286915798528, 5230: 0.0392573831597056, 5254: 0.0392573831597056, 5255: 0.0588860747395584, 5262: 0.0196286915798528, 5263: 0.0196286915798528, 5264: 0.0392573831597056, 5265: 0.0196286915798528, 5267: 0.0196286915798528, 5269: 0.0392573831597056, 5270: 0.0392573831597056, 5830: 0.0958042626397782, 5982: 0.119277453885119, 7713: 1.152633088024467, 7766: 1.7289496320367008, 10281: 0.0080282901653445, 10482: 0.0080282901653445, 10683: 0.0080282901653445}"
16,{}
17,"{177: 0.0115999235400936, 192: 0.0115999235400936}"
18,"{2314: 0.0596387269425595, 4792: 0.0943668164006499, 4869: 0.0917518876039376, 5309: 0.0286724648762305, 7672: 1.440791360030584}"
19,{6396: 0.0182356876612826}
20,"{5347: 0.0143362324381152, 8222: 0.455605466883303, 8296: 0.016056580330689, 9504: 0.1538755615024371}"
21,"{1946: 0.0443467456752365, 4919: 0.0095106565994456, 5802: 0.0239510656599445, 5954: 0.0298193634712797, 6023: 0.0267609672178151}"
22,"{813: 0.0115999235400936, 2815: 0.0266653923348943, 3163: 0.0174902035745006, 3505: 0.0201663002962821, 3591: 0.238937207301921, 3853: 0.0377788397209213, 5209: 0.0196286915798528}"
23,"{2420: 0.2247921246296473, 2422: 0.0321131606613781, 2430: 0.0963394819841345, 2453: 0.0642263213227563, 2517: 0.0963394819841345, 2543: 0.0321131606613781, 2562: 0.0642263213227563, 2563: 0.0642263213227563, 2564: 0.0321131606613781, 2566: 0.0963394819841345, 2568: 0.0321131606613781, 2572: 0.0642263213227563, 2577: 0.0642263213227563, 2582: 0.0642263213227563, 2583: 0.0642263213227563, 6173: 0.0535219344356303, 8712: 0.0477874414603842, 8713: 0.0477874414603842, 8714: 0.0477874414603842, 8716: 0.0477874414603842, 8730: 0.0477874414603842, 8731: 0.0477874414603842, 8732: 0.0477874414603842, 8734: 0.0477874414603842, 9464: 0.1154066711268278}"
24,{}
25,"{1860: 2.999856637675619, 6371: 0.0137627831405906, 7804: 0.0358405810952881, 7881: 0.0358405810952881, 7975: 0.0298193634712797, 8052: 0.0298193634712797, 9226: 0.2460097486380579, 9311: 0.4920194972761158}"
26,"{3323: 0.0334512090222689, 3460: 0.0143362324381152, 9461: 0.0769377807512185}"
27,"{2880: 0.1146898595049221, 3582: 0.1194686036509605, 3642: 0.238937207301921, 3650: 0.238937207301921, 3660: 0.1194686036509605, 3665: 0.3584058109528816, 3671: 0.238937207301921, 3677: 0.238937207301921, 3844: 0.0188894198604606, 3904: 0.0377788397209213, 3912: 0.0377788397209213, 3922: 0.0188894198604606, 3927: 0.056668259581382, 3933: 0.0377788397209213, 3939: 0.0377788397209213, 7565: 1.152633088024467, 7583: 2.8815827200611683, 7765: 1.7289496320367008}"
28,"{842: 0.0231998470801873, 1112: 0.0231998470801873, 1279: 0.0231998470801873, 2515: 0.1605658033068909, 2536: 0.0642263213227563, 3773: 0.0113332696167447, 3778: 0.0226665392334894, 4594: 0.0389945522316735, 7756: 1.152633088024467}"
29,"{1779: 0.9999522125585396, 7565: 1.152633088024467, 7598: 1.152633088024467, 7603: 0.8644748160183503, 7766: 1.7289496320367008, 7781: 2.3052661760489346, 7812: 0.0358405810952881, 7983: 0.0298193634712797, 9131: 0.4920194972761158, 9309: 0.9840389945522316}"
30,{}
31,"{263: 0.0115999235400936, 265: 0.0115999235400936, 268: 0.0695995412405619, 275: 0.0115999235400936, 277: 0.0231998470801873, 278: 0.0231998470801873, 282: 0.0231998470801873, 1506: 0.0115999235400936, 1510: 0.0115999235400936, 1511: 0.0115999235400936, 1514: 0.0115999235400936, 1525: 0.0115999235400936, 1529: 0.0115999235400936, 1530: 0.0115999235400936, 1533: 0.0115999235400936, 4419: 0.0389945522316735, 8450: 0.057344929752461}"
32,{}
33,{1010: 0.0115999235400936}
34,"{1517: 0.0115999235400936, 1536: 0.0115999235400936, 1541: 0.0115999235400936, 1542: 0.0115999235400936, 1545: 0.0115999235400936, 1546: 0.0115999235400936, 8477: 0.057344929752461, 8637: 0.0231673516199942}"
35,"{1450: 0.0115999235400936, 1464: 0.0115999235400936, 7672: 1.440791360030584, 10794: 0.0027052470610723, 10800: 0.0027052470610723}"
36,"{5271: 0.0392573831597056, 6587: 0.0115999235400936, 6671: 0.0115999235400936, 7701: 0.8644748160183503, 9266: 0.3690146229570868, 9292: 0.4920194972761158, 10295: 0.0057344929752461, 10496: 0.0057344929752461, 10697: 0.0057344929752461}"
37,"{1774: 1.9999044251170792, 8351: 0.0595431520596387, 9193: 0.8610341202332027}"
38,"{643: 0.0115999235400936, 2043: 0.0321131606613781, 3143: 0.0174902035745006, 8827: 0.0321131606613781, 8949: 0.0321131606613781, 8990: 0.0321131606613781}"
39,"{797: 0.0115999235400936, 2240: 0.1490968173563987, 2311: 0.0298193634712797, 4085: 0.1254420338335085, 4093: 0.3763261015005256, 4094: 0.2508840676670171, 4095: 0.1254420338335085, 4097: 0.5017681353340342, 4098: 0.6272101691675427, 4099: 0.3763261015005256, 4100: 0.3763261015005256, 4101: 0.2508840676670171, 4103: 0.2508840676670171, 4104: 0.2508840676670171, 4105: 0.5017681353340342, 4107: 0.3763261015005256, 4108: 0.3763261015005256, 4109: 0.2508840676670171, 4110: 0.6272101691675427, 4111: 0.3763261015005256, 4112: 0.2508840676670171, 4113: 0.1254420338335085, 4114: 0.3763261015005256, 4115: 0.6272101691675427, 4116: 0.2508840676670171, 4120: 0.1254420338335085, 4122: 0.2508840676670171, 4124: 0.2508840676670171, 4125: 0.2508840676670171, 4127: 0.2508840676670171, 4128: 0.6272101691675427, 4133: 0.1254420338335085, 4136: 0.5017681353340342, 4138: 0.1254420338335085, 4142: 0.3763261015005256, 4150: 0.2508840676670171, 4151: 0.1254420338335085, 4154: 0.1254420338335085, 4155: 0.1254420338335085, 4177: 0.1254420338335085, 4181: 0.1254420338335085, 4191: 0.5017681353340342, 4256: 0.0645130459715186, 4260: 0.0258052183886074, 4262: 0.0129026091943037, 4268: 0.0129026091943037, 4303: 0.0516104367772149, 4306: 0.0129026091943037, 4326: 0.0387078275829112, 4328: 0.0129026091943037, 4333: 0.0129026091943037, 4335: 0.0129026091943037, 4341: 0.0258052183886074, 4349: 0.0129026091943037, 4352: 0.0387078275829112, 4721: 0.2359170410016247, 4789: 0.0471834082003249, 4798: 0.2293797190098442, 4866: 0.0458759438019688, 5221: 0.0196286915798528, 7566: 2.5934244480550515, 9629: 0.0045875943801968, 9750: 0.0045875943801968, 9871: 0.0045875943801968, 9992: 0.0045875943801968, 10113: 0.0045875943801968}"
40,"{5577: 0.057344929752461, 5602: 0.057344929752461}"
41,"{817: 0.0231998470801873, 1038: 0.0115999235400936, 1059: 0.0231998470801873, 1065: 0.0115999235400936, 1066: 0.0115999235400936, 1075: 0.0115999235400936, 1096: 0.0231998470801873, 1102: 0.0115999235400936, 1103: 0.0115999235400936, 1808: 0.9999522125585396, 1846: 0.9999522125585396, 2222: 0.0707254133613686, 2710: 0.0298193634712797, 3328: 0.0669024180445378, 3465: 0.0286724648762305, 4696: 0.0466644365860651, 4883: 0.0095106565994456, 5084: 0.0584918283475102, 5768: 0.0239510656599445, 5917: 0.0298193634712797, 7030: 0.0115999235400936, 7031: 0.0115999235400936, 7032: 0.0115999235400936, 7033: 0.0115999235400936, 7848: 0.0358405810952881, 8019: 0.0298193634712797, 9391: 0.0769377807512185, 9471: 0.1154066711268278}"
42,"{4232: 0.0129026091943037, 6732: 0.0115999235400936, 6735: 0.0115999235400936, 7297: 0.0115999235400936, 7298: 0.0115999235400936, 7300: 0.0115999235400936, 7301: 0.0115999235400936}"
43,"{764: 0.0115999235400936, 10754: 0.0027052470610723, 10758: 0.0027052470610723}"
44,{}
45,{2660: 0.0298193634712797}
46,"{1549: 0.0115999235400936, 1550: 0.0231998470801873, 1551: 0.0695995412405619, 1552: 0.0927993883207493, 1553: 0.0579996177004683, 1554: 0.0115999235400936, 1555: 0.0115999235400936, 1556: 0.0115999235400936, 1557: 0.0231998470801873, 1558: 0.0231998470801873, 1559: 0.0231998470801873, 1560: 0.0115999235400936, 1561: 0.0115999235400936, 1562: 0.0115999235400936, 1564: 0.0115999235400936, 1565: 0.0347997706202809, 1566: 0.0115999235400936, 1567: 0.0115999235400936, 1568: 0.0115999235400936, 1570: 0.0115999235400936, 1571: 0.0231998470801873, 1572: 0.0695995412405619, 1573: 0.0927993883207493, 1574: 0.0579996177004683, 1575: 0.0115999235400936, 1576: 0.0115999235400936, 1577: 0.0115999235400936, 1578: 0.0231998470801873, 1579: 0.0231998470801873, 1580: 0.0231998470801873, 1581: 0.0115999235400936, 1582: 0.0115999235400936, 1583: 0.0115999235400936, 1585: 0.0115999235400936, 1586: 0.0347997706202809, 1587: 0.0115999235400936, 1588: 0.0115999235400936, 1589: 0.0115999235400936, 1836: 0.9999522125585396, 2313: 0.0894580904138392, 3804: 0.0186371021695498, 4061: 0.3763261015005256, 4791: 0.1415502246009748, 4868: 0.1376278314059065, 8693: 0.0229379719009844, 8694: 0.0229379719009844, 8695: 0.0229379719009844, 8696: 0.0229379719009844, 8697: 0.0229379719009844, 8698: 0.0229379719009844, 8699: 0.0229379719009844, 8700: 0.0229379719009844, 8701: 0.0229379719009844, 8702: 0.0229379719009844, 8703: 0.0229379719009844, 8704: 0.0229379719009844}"
47,"{2728: 0.0596387269425595, 5229: 0.0196286915798528, 5711: 0.0642263213227563, 5897: 0.0182356876612826, 7765: 1.7289496320367008, 10291: 0.0057344929752461, 10492: 0.0057344929752461, 10693: 0.0057344929752461}"
48,"{2246: 0.0596387269425595, 2781: 0.0321131606613781, 4727: 0.0943668164006499, 4804: 0.0917518876039376, 6378: 0.0275255662811813, 6506: 0.0321131606613781, 7182: 0.0115999235400936, 7267: 0.0115999235400936, 9242: 7.1342827105036735, 10298: 0.0034406957851476, 10499: 0.0034406957851476, 10700: 0.0034406957851476}"
49,{6090: 0.0802829016534454}
50,"{840: 0.0115999235400936, 933: 0.0115999235400936, 1104: 0.0115999235400936, 1203: 0.0115999235400936, 1370: 0.0115999235400936, 8446: 0.057344929752461, 8500: 0.0321131606613781, 8501: 0.0321131606613781, 8576: 0.0321131606613781, 8577: 0.0321131606613781, 8746: 0.0156551658224218, 8747: 0.0156551658224218, 10759: 0.0027052470610723, 10760: 0.0027052470610723}"
51,"{2240: 0.1490968173563987, 2242: 0.0298193634712797, 2247: 0.0596387269425595, 2266: 0.0298193634712797, 2289: 0.0298193634712797, 2303: 0.0298193634712797, 2688: 0.0596387269425595, 4011: 0.0344069578514766, 4167: 0.2508840676670171, 4721: 0.2359170410016247, 4723: 0.0471834082003249, 4728: 0.0943668164006499, 4746: 0.0471834082003249, 4769: 0.0471834082003249, 4782: 0.0471834082003249, 4798: 0.2293797190098442, 4800: 0.0458759438019688, 4805: 0.0917518876039376, 4823: 0.0458759438019688, 4846: 0.0458759438019688, 4859: 0.0458759438019688, 4873: 0.0095106565994456, 5715: 0.1605658033068909, 5748: 0.0642263213227563, 5759: 0.0239510656599445, 5836: 0.0182356876612826, 5888: 0.0182356876612826, 5907: 0.0298193634712797, 5987: 0.0267609672178151, 6030: 0.0267609672178151, 6060: 0.0802829016534454, 6188: 0.0802829016534454}"
52,"{2884: 0.057344929752461, 5322: 0.0143362324381152, 5323: 0.0286724648762305, 5332: 0.0143362324381152, 5338: 0.0286724648762305, 5382: 0.0143362324381152, 5402: 0.0286724648762305, 5624: 0.0642263213227563, 5704: 0.3853579279365384, 5713: 0.2890184459524038, 9252: 0.3690146229570868, 10213: 0.0034406957851476, 10414: 0.0034406957851476, 10615: 0.0034406957851476}"
53,{}
54,"{2199: 0.0707254133613686, 3082: 0.0615502246009748, 3085: 0.0615502246009748, 3124: 0.0923253369014622, 4066: 0.1254420338335085, 4129: 0.2508840676670171, 4130: 0.5017681353340342, 4144: 0.3763261015005256, 4157: 0.1254420338335085, 4664: 0.0933288731721303, 4982: 0.0860173946286915, 6420: 0.0182356876612826, 6430: 0.0182356876612826, 7624: 0.8644748160183503, 7751: 1.152633088024467}"
55,"{1961: 0.0886934913504731, 3736: 0.0339998088502341, 3791: 0.0186371021695498, 4473: 0.0389945522316735, 4928: 0.0190213131988913, 5811: 0.0479021313198891, 5963: 0.0596387269425595, 6029: 0.0267609672178151, 7683: 1.7289496320367008}"
56,"{1969: 0.0886934913504731, 2620: 0.1490968173563987, 3543: 0.0604989008888464, 3549: 0.0201663002962821, 4218: 0.0387078275829112, 4491: 0.0389945522316735, 4564: 0.0389945522316735, 4936: 0.0190213131988913, 5057: 0.0748446908152537, 5516: 0.0855557679441842, 5539: 0.1283336519162763, 5819: 0.0479021313198891, 5971: 0.0596387269425595, 9568: 0.0034406957851476, 9569: 0.0011468985950492, 9570: 0.0068813915702953, 9571: 0.0045875943801968, 9572: 0.0034406957851476, 9575: 0.0011468985950492, 9689: 0.0034406957851476, 9690: 0.0011468985950492, 9691: 0.0068813915702953, 9692: 0.0045875943801968, 9693: 0.0034406957851476, 9696: 0.0011468985950492, 9810: 0.0034406957851476, 9811: 0.0011468985950492, 9812: 0.0068813915702953, 9813: 0.0045875943801968, 9814: 0.0034406957851476, 9817: 0.0011468985950492, 9931: 0.0034406957851476, 9932: 0.0011468985950492, 9933: 0.0068813915702953, 9934: 0.0045875943801968, 9935: 0.0034406957851476, 9938: 0.0011468985950492, 10052: 0.0034406957851476, 10053: 0.0011468985950492, 10054: 0.0068813915702953, 10055: 0.0045875943801968, 10056: 0.0034406957851476, 10059: 0.0011468985950492, 10235: 0.0045875943801968, 10237: 0.0022937971900984, 10291: 0.0057344929752461, 10436: 0.0045875943801968, 10438: 0.0022937971900984, 10492: 0.0057344929752461, 10637: 0.0045875943801968, 10639: 0.0022937971900984, 10693: 0.0057344929752461}"
57,"{3227: 0.0669024180445378, 3310: 0.0334512090222689, 3317: 0.0334512090222689, 3343: 0.0669024180445378, 3364: 0.0286724648762305, 3447: 0.0143362324381152, 3454: 0.0143362324381152, 3480: 0.0286724648762305, 9449: 0.0769377807512185, 9496: 0.1154066711268278}"
58,"{2625: 0.119277453885119, 7773: 1.440791360030584, 9315: 0.7380292459141737}"
59,{}
60,{}
61,"{33: 0.0115999235400936, 58: 0.0115999235400936, 83: 0.0115999235400936, 604: 0.0115999235400936, 617: 0.0115999235400936, 633: 0.0231998470801873, 638: 0.0115999235400936, 639: 0.0231998470801873, 640: 0.0115999235400936, 641: 0.0231998470801873, 642: 0.0115999235400936, 645: 0.0115999235400936, 647: 0.0115999235400936, 653: 0.0115999235400936, 771: 0.0115999235400936, 784: 0.0115999235400936, 2088: 0.0321131606613781, 2089: 0.0321131606613781, 5558: 0.3422230717767371, 8817: 0.0642263213227563, 8822: 0.0321131606613781, 8823: 0.0642263213227563, 8824: 0.0321131606613781, 8825: 0.0642263213227563, 8826: 0.0321131606613781, 8829: 0.0321131606613781, 8831: 0.0321131606613781, 8837: 0.0321131606613781, 8872: 0.0642263213227563, 8875: 0.0321131606613781, 8876: 0.0642263213227563, 8877: 0.0321131606613781, 8878: 0.0642263213227563, 8879: 0.0321131606613781, 8880: 0.0321131606613781, 8882: 0.0321131606613781, 8890: 0.0321131606613781, 8939: 0.0642263213227563, 8944: 0.0321131606613781, 8945: 0.0642263213227563, 8946: 0.0321131606613781, 8947: 0.0642263213227563, 8948: 0.0321131606613781, 8950: 0.0321131606613781, 8952: 0.0321131606613781, 8960: 0.0321131606613781, 8982: 0.0642263213227563, 8985: 0.0321131606613781, 8986: 0.0642263213227563, 8987: 0.0321131606613781, 8988: 0.0642263213227563, 8989: 0.0321131606613781, 8991: 0.0321131606613781, 8993: 0.0321131606613781, 9001: 0.0321131606613781}"
62,"{7568: 1.440791360030584, 7594: 1.7289496320367008}"
63,"{140: 0.0115999235400936, 142: 0.0115999235400936, 144: 0.0115999235400936, 4367: 0.0387078275829112, 4375: 0.0194972761158367, 5082: 0.0194972761158367, 10192: 0.0022937971900984, 10255: 0.0080282901653445, 10393: 0.0022937971900984, 10456: 0.0080282901653445, 10594: 0.0022937971900984, 10657: 0.0080282901653445}"
64,"{898: 0.0231998470801873, 924: 0.0231998470801873, 975: 0.0231998470801873, 1168: 0.0231998470801873, 1194: 0.0231998470801873, 1245: 0.0231998470801873, 1335: 0.0231998470801873, 1361: 0.0231998470801873, 1412: 0.0231998470801873, 1928: 0.0443467456752365, 1987: 0.0886934913504731, 2820: 0.0266653923348943, 3502: 0.0201663002962821, 3588: 0.238937207301921, 3850: 0.0377788397209213, 4091: 0.1254420338335085, 4228: 0.0129026091943037, 4236: 0.0129026091943037, 4379: 0.0194972761158367, 4503: 0.0194972761158367, 4952: 0.0285319697983369, 5217: 0.0196286915798528, 5834: 0.0479021313198891, 5986: 0.0894580904138392, 9148: 0.2460097486380579, 9555: 0.0022937971900984, 9676: 0.0022937971900984, 9797: 0.0022937971900984, 9918: 0.0022937971900984, 10039: 0.0022937971900984}"
65,"{7780: 2.3052661760489346, 9264: 0.2460097486380579}"
66,"{1720: 0.0642263213227563, 1723: 0.0321131606613781, 1814: 1.9999044251170792, 2760: 0.0321131606613781, 6446: 0.8028290165344545, 6610: 0.0115999235400936, 6694: 0.0115999235400936, 7122: 0.2899980885023416, 7207: 0.2899980885023416, 7568: 1.440791360030584, 9507: 0.269282232629265}"
67,{314: 0.0115999235400936}
68,"{3528: 0.0403326005925642, 4303: 0.0516104367772149, 4548: 0.0584918283475102, 4658: 0.3733154926885214, 4669: 0.1399933097581955, 4679: 0.0466644365860651, 4686: 0.2799866195163911, 5413: 0.1283336519162763, 5428: 0.0855557679441842, 5545: 0.1283336519162763, 5555: 0.1711115358883685, 7563: 2.0171079040428177, 7576: 1.440791360030584, 7692: 0.8644748160183503, 7745: 0.8644748160183503, 9093: 0.6150243715951448, 9106: 0.4920194972761158, 9228: 0.2460097486380579, 9288: 0.3690146229570868, 10305: 0.0057344929752461, 10506: 0.0057344929752461, 10707: 0.0057344929752461}"
69,"{977: 0.0231998470801873, 1247: 0.0231998470801873, 1414: 0.0231998470801873, 8408: 0.0595431520596387}"
70,"{3238: 0.1003536270668068, 3301: 0.1338048360890757, 3334: 0.0334512090222689, 3336: 0.0334512090222689, 3343: 0.0669024180445378, 3375: 0.0430086973143457, 3438: 0.057344929752461, 3471: 0.0143362324381152, 3473: 0.0143362324381152, 3480: 0.0286724648762305, 6916: 0.0115999235400936, 6923: 0.0115999235400936, 7797: 0.0716811621905763, 7799: 0.0358405810952881, 7810: 0.0716811621905763, 7869: 0.0358405810952881, 7880: 0.0358405810952881, 7907: 0.0358405810952881, 7915: 0.0358405810952881, 7918: 0.0716811621905763, 7919: 0.0716811621905763, 7924: 0.1075217432858644, 7928: 0.0716811621905763, 7932: 0.1433623243811526, 7936: 0.1792029054764407, 7944: 0.0358405810952881, 7949: 0.1792029054764407, 7952: 0.1075217432858644, 7968: 0.0596387269425595, 7970: 0.0298193634712797, 7981: 0.0596387269425595, 8040: 0.0298193634712797, 8051: 0.0298193634712797, 8078: 0.0298193634712797, 8086: 0.0298193634712797, 8089: 0.0596387269425595, 8090: 0.0596387269425595, 8095: 0.0894580904138392, 8099: 0.0596387269425595, 8103: 0.119277453885119, 8107: 0.1490968173563987, 8115: 0.0298193634712797, 8120: 0.1490968173563987, 8123: 0.0894580904138392, 8710: 0.0477874414603842, 8728: 0.0477874414603842, 9095: 0.4920194972761158, 9097: 0.4920194972761158, 9100: 0.4920194972761158, 9113: 0.7380292459141737, 9215: 0.7380292459141737, 9240: 0.2460097486380579, 9245: 0.2460097486380579, 9246: 0.4920194972761158, 9263: 0.6150243715951448, 9267: 0.3690146229570868, 9273: 0.2460097486380579, 9277: 0.2460097486380579, 9278: 0.4920194972761158, 9279: 0.4920194972761158, 9280: 0.1230048743190289, 9282: 0.4920194972761158, 9284: 0.6150243715951448, 9285: 0.3690146229570868, 9288: 0.3690146229570868, 9290: 0.4920194972761158, 9293: 0.6150243715951448, 9301: 0.6150243715951448, 9305: 0.2460097486380579, 9310: 0.6150243715951448, 9314: 0.7380292459141737, 9315: 0.7380292459141737, 9317: 0.7380292459141737, 9319: 0.4920194972761158, 9326: 0.0384688903756092, 9330: 0.1154066711268278, 9331: 0.1154066711268278, 9399: 0.0769377807512185, 9401: 0.0384688903756092, 9404: 0.1154066711268278, 9405: 0.0769377807512185, 9406: 0.0769377807512185, 9409: 0.1538755615024371, 9428: 0.1154066711268278, 9457: 0.0769377807512185, 9468: 0.1538755615024371, 9481: 0.1154066711268278, 9482: 0.0769377807512185, 9486: 0.0384688903756092, 9487: 0.1154066711268278, 9493: 0.0769377807512185, 9494: 0.1154066711268278, 9495: 0.0384688903756092, 9496: 0.1154066711268278, 9499: 0.0769377807512185, 9502: 0.1923444518780464, 9505: 0.1154066711268278, 9508: 0.1538755615024371, 9509: 0.1923444518780464, 9565: 0.0034406957851476, 9686: 0.0034406957851476, 9807: 0.0034406957851476, 9928: 0.0034406957851476, 10049: 0.0034406957851476}"
