B_index,B_id,Latitude,Longitude,Start_time,End_time,Tags,B_Size,B_Cost,Influence,Zone
68,432995,34.034443,-118.264257,02:52,02:53,Filipino Restaurant,492,10981.932,1.46428571428571,0
69,432995,34.034443,-118.264257,02:55,02:56,Rest Area,254,5669.534,0.37797619047619,0
70,432995,34.034443,-118.264257,02:57,02:58,Hot Dog Joint,400,8928.4,0.595238095238095,0
71,432995,34.034443,-118.264257,02:58,02:59,Car Dealership,658,14687.218,0.979166666666667,0
72,432995,34.034443,-118.264257,02:59,03:00,Concert Hall,272,6071.312,0.404761904761905,0
73,432995,34.034443,-118.264257,03:00,03:01,Other Great Outdoors,188,4196.348,0.279761904761905,0
74,432995,34.034443,-118.264257,03:04,03:05,Ski Area,182,4062.422,1.08333333333333,0
75,432995,34.034443,-118.264257,03:05,03:06,Burger Joint,123,2745.483,0.366071428571429,0
76,432995,34.034443,-118.264257,03:07,03:08,Pet Service,457,10200.697,0.680059523809524,0
77,432995,34.034443,-118.264257,03:08,03:09,Gift Shop,300,6696.3,0.446428571428571,0
78,432995,34.034443,-118.264257,03:10,03:11,Funeral Home,549,12254.229,0.816964285714286,0
79,432995,34.034443,-118.264257,03:12,03:13,Synagogue,176,3928.496,1.30952380952381,0
80,432995,34.034443,-118.264257,03:17,03:18,Tattoo Parlor,284,6339.164,0.422619047619048,0
81,432995,34.034443,-118.264257,03:24,03:25,Vietnamese Restaurant,549,12254.229,1.63392857142857,0
82,432995,34.034443,-118.264257,03:25,03:26,Other Great Outdoors,656,14642.576,0.976190476190476,0
83,432995,34.034443,-118.264257,03:28,03:29,Food,190,4240.99,0.282738095238095,0
84,432995,34.034443,-118.264257,03:30,03:31,Flea Market,170,3794.57,0.505952380952381,0
85,432995,34.034443,-118.264257,03:32,03:33,Concert Hall,481,10736.401,0.71577380952381,0
86,432995,34.034443,-118.264257,03:33,03:34,Molecular Gastronomy Restaurant,588,13124.748,0.875,0
87,432995,34.034443,-118.264257,03:35,03:36,Peruvian Restaurant,453,10111.413,0.674107142857143,0
88,432995,34.034443,-118.264257,03:39,03:40,Latin American Restaurant,588,13124.748,0.875,0
89,432995,34.034443,-118.264257,03:40,03:41,Home (private),476,10624.796,0.708333333333333,0
90,432995,34.034443,-118.264257,03:43,03:44,Steakhouse,309,6897.189,0.459821428571429,0
91,432995,34.034443,-118.264257,03:51,03:52,Department Store,417,9307.857,0.620535714285714,0
92,432995,34.034443,-118.264257,03:52,03:53,Fair,576,12856.896,0.857142857142857,0
93,432995,34.034443,-118.264257,03:53,03:54,Board Shop,88,1964.248,0.130952380952381,0
94,432995,34.034443,-118.264257,03:55,03:56,Financial or Legal Service,289,6450.769,0.430059523809524,0
95,432995,34.034443,-118.264257,03:56,03:57,Music Store,572,12767.612,0.851190476190476,0
96,432995,34.034443,-118.264257,03:57,03:58,Bridge,365,8147.165,1.08630952380952,0
97,432995,34.034443,-118.264257,03:59,04:00,Medical School,261,5825.781,0.776785714285714,0
98,432995,34.034443,-118.264257,04:00,04:01,Pet Store,168,3749.928,0.25,0
99,432995,34.034443,-118.264257,04:10,04:11,Arepa Restaurant,671,14977.391,0.998511904761905,0
100,432995,34.034443,-118.264257,04:11,04:12,Embassy / Consulate,603,13459.563,0.897321428571429,0
101,432995,34.034443,-118.264257,04:14,04:15,Planetarium,578,12901.538,0.860119047619048,0
102,432995,34.034443,-118.264257,04:15,04:16,Photography Lab,93,2075.853,0.138392857142857,0
103,432995,34.034443,-118.264257,04:20,04:21,School,484,10803.364,0.720238095238095,0
104,432995,34.034443,-118.264257,04:24,04:25,Scenic Lookout,653,14575.613,0.97172619047619,0
105,432995,34.034443,-118.264257,04:26,04:27,Stadium,410,9151.61,0.610119047619048,0
106,432995,34.034443,-118.264257,04:27,04:28,Australian Restaurant,323,7209.683,0.480654761904762,0
107,432995,34.034443,-118.264257,04:29,04:30,Electronics Store,108,2410.668,0.321428571428571,0
108,432995,34.034443,-118.264257,04:33,04:34,Vegetarian / Vegan Restaurant,570,12722.97,1.69642857142857,0
109,432995,34.034443,-118.264257,04:36,04:37,Toy / Game Store,643,14352.403,0.956845238095238,0
110,432995,34.034443,-118.264257,04:37,04:38,Newsstand,379,8459.659,0.563988095238095,0
111,432995,34.034443,-118.264257,04:39,04:40,Automotive Shop,650,14508.65,0.967261904761905,0
112,432995,34.034443,-118.264257,04:53,04:54,Falafel Restaurant,533,11897.093,0.793154761904762,0
113,432995,34.034443,-118.264257,04:55,04:56,Zoo,401,8950.721,1.19345238095238,0
114,432995,34.034443,-118.264257,04:56,04:57,Sporting Goods Shop,165,3682.965,0.245535714285714,0
115,432995,34.034443,-118.264257,04:57,04:58,Miscellaneous Shop,414,9240.894,1.23214285714286,0
116,432995,34.034443,-118.264257,04:58,04:59,Latin American Restaurant,371,8281.091,0.552083333333333,0
117,432995,34.034443,-118.264257,04:59,05:00,Food,103,2299.063,0.459821428571429,0
118,432995,34.034443,-118.264257,05:08,05:09,Australian Restaurant,133,2968.693,0.197916666666667,0
119,432995,34.034443,-118.264257,05:09,05:10,Ferry,129,2879.409,0.191964285714286,0
120,432995,34.034443,-118.264257,05:12,05:13,Electronics Store,338,7544.498,0.50297619047619,0
121,432995,34.034443,-118.264257,05:13,05:14,Planetarium,559,12477.439,0.831845238095238,0
122,432995,34.034443,-118.264257,05:16,05:17,Food & Drink Shop,237,5290.077,0.705357142857143,0
123,432995,34.034443,-118.264257,05:18,05:19,Plaza,502,11205.142,0.74702380952381,0
124,432995,34.034443,-118.264257,05:19,05:20,Vegetarian / Vegan Restaurant,213,4754.373,0.316964285714286,0
125,432995,34.034443,-118.264257,05:20,05:21,Convention Center,570,12722.97,2.54464285714286,0
126,432995,34.034443,-118.264257,05:26,05:27,Train Station,340,7589.14,0.505952380952381,0
127,432995,34.034443,-118.264257,05:28,05:29,Bar,656,14642.576,0.976190476190476,0
128,432995,34.034443,-118.264257,05:31,05:32,Gastropub,497,11093.537,0.739583333333333,0
129,432995,34.034443,-118.264257,05:32,05:33,Newsstand,316,7053.436,0.470238095238095,0
130,432995,34.034443,-118.264257,05:36,05:37,Antique Shop,645,14397.045,1.91964285714286,0
131,432995,34.034443,-118.264257,05:40,05:41,Toy / Game Store,138,3080.298,0.410714285714286,0
132,432995,34.034443,-118.264257,05:46,05:47,American Restaurant,640,14285.44,0.952380952380952,0
133,432995,34.034443,-118.264257,05:49,05:50,Bike Shop,463,10334.623,1.37797619047619,0
134,432995,34.034443,-118.264257,05:52,05:53,Planetarium,506,11294.426,0.75297619047619,0
135,432995,34.034443,-118.264257,05:53,05:54,South American Restaurant,344,7678.424,0.511904761904762,0
136,432995,34.034443,-118.264257,06:02,06:03,American Restaurant,553,12343.513,0.822916666666667,0
137,432995,34.034443,-118.264257,06:03,06:04,Thai Restaurant,176,3928.496,0.261904761904762,0
138,432995,34.034443,-118.264257,06:10,06:11,Other Nightlife,238,5312.398,0.354166666666667,0
139,432995,34.034443,-118.264257,06:15,06:16,Road,383,8548.943,0.569940476190476,0
140,432995,34.034443,-118.264257,06:16,06:17,University,650,14508.65,0.967261904761905,0
141,432995,34.034443,-118.264257,06:26,06:27,Bike Rental / Bike Share,626,13972.946,0.931547619047619,0
142,432995,34.034443,-118.264257,06:30,06:31,Afghan Restaurant,145,3236.545,0.21577380952381,0
143,432995,34.034443,-118.264257,06:33,06:34,Concert Hall,370,8258.77,0.550595238095238,0
144,432995,34.034443,-118.264257,06:34,06:35,College Theater,553,12343.513,0.822916666666667,0
145,432995,34.034443,-118.264257,06:36,06:37,Taco Place,418,9330.178,0.62202380952381,0
146,432995,34.034443,-118.264257,06:43,06:44,Salad Place,411,9173.931,1.22321428571429,0
147,432995,34.034443,-118.264257,06:47,06:48,Malaysian Restaurant,141,3147.261,0.419642857142857,0
148,432995,34.034443,-118.264257,06:48,06:49,Turkish Restaurant,98,2187.458,0.145833333333333,0
149,432995,34.034443,-118.264257,06:50,06:51,Dessert Shop,196,4374.916,0.291666666666667,0
150,432995,34.034443,-118.264257,06:51,06:52,Bakery,445,9932.845,0.662202380952381,0
151,432995,34.034443,-118.264257,06:54,06:55,Gluten-free Restaurant,153,3415.113,0.227678571428571,0
152,432995,34.034443,-118.264257,06:55,06:56,Outdoors & Recreation,318,7098.078,0.473214285714286,0
153,432995,34.034443,-118.264257,06:56,06:57,Flea Market,329,7343.609,0.489583333333333,0
154,432995,34.034443,-118.264257,07:02,07:03,Arts & Entertainment,440,9821.24,1.30952380952381,0
155,432995,34.034443,-118.264257,07:03,07:04,Snack Place,460,10267.66,0.68452380952381,0
156,432995,34.034443,-118.264257,07:06,07:07,Pool Hall,383,8548.943,0.569940476190476,0
157,432995,34.034443,-118.264257,07:11,07:12,Community College,398,8883.758,1.18452380952381,0
158,432995,34.034443,-118.264257,07:15,07:16,Cuban Restaurant,483,10781.043,0.71875,0
159,432995,34.034443,-118.264257,07:16,07:17,Law School,643,14352.403,0.956845238095238,0
160,432995,34.034443,-118.264257,07:19,07:20,Casino,350,7812.35,0.520833333333333,0
161,432995,34.034443,-118.264257,07:23,07:24,Greek Restaurant,273,6093.633,0.40625,0
162,432995,34.034443,-118.264257,07:25,07:26,Gaming Cafe,239,5334.719,0.355654761904762,0
163,432995,34.034443,-118.264257,07:30,07:31,Snack Place,620,13839.02,1.8452380952381,0
164,432995,34.034443,-118.264257,07:31,07:32,School,407,9084.647,0.605654761904762,0
165,432995,34.034443,-118.264257,07:35,07:36,Snack Place,252,5624.892,0.375,0
166,432995,34.034443,-118.264257,07:36,07:37,Art Museum,259,5781.139,0.770833333333333,0
167,432995,34.034443,-118.264257,07:38,07:39,Tapas Restaurant,430,9598.03,0.639880952380952,0
168,432995,34.034443,-118.264257,07:40,07:41,Cemetery,575,12834.575,0.855654761904762,0
169,432995,34.034443,-118.264257,07:42,07:43,Rest Area,281,6272.201,0.418154761904762,0
170,432995,34.034443,-118.264257,07:48,07:49,Japanese Restaurant,179,3995.459,0.799107142857143,0
171,432995,34.034443,-118.264257,07:49,07:50,Asian Restaurant,202,4508.842,0.300595238095238,0
172,432995,34.034443,-118.264257,07:53,07:54,Dim Sum Restaurant,454,10133.734,0.675595238095238,0
173,432995,34.034443,-118.264257,08:00,08:01,Seafood Restaurant,359,8013.239,1.06845238095238,0
174,432995,34.034443,-118.264257,08:02,08:03,Cemetery,659,14709.539,0.980654761904762,0
175,432995,34.034443,-118.264257,08:07,08:08,Tattoo Parlor,663,14798.823,0.986607142857143,0
176,432995,34.034443,-118.264257,08:09,08:10,Bike Shop,456,10178.376,0.678571428571429,0
177,432995,34.034443,-118.264257,08:11,08:12,Medical School,283,6316.843,0.421130952380952,0
178,432995,34.034443,-118.264257,08:13,08:14,Building,221,4932.941,0.328869047619048,0
179,432995,34.034443,-118.264257,08:15,08:16,Miscellaneous Shop,117,2611.557,0.174107142857143,0
180,432995,34.034443,-118.264257,08:16,08:17,Other Nightlife,293,6540.053,0.436011904761905,0
181,432995,34.034443,-118.264257,08:21,08:22,Theater,449,10022.129,0.668154761904762,0
182,432995,34.034443,-118.264257,08:22,08:23,Ski Area,212,4732.052,0.31547619047619,0
183,432995,34.034443,-118.264257,08:28,08:29,Turkish Restaurant,670,14955.07,0.99702380952381,0
184,432995,34.034443,-118.264257,08:29,08:30,Airport,514,11472.994,0.764880952380952,0
185,432995,34.034443,-118.264257,08:30,08:31,Peruvian Restaurant,526,11740.846,0.782738095238095,0
186,432995,34.034443,-118.264257,08:31,08:32,Synagogue,83,1852.643,0.123511904761905,0
187,432995,34.034443,-118.264257,08:32,08:33,Cuban Restaurant,265,5915.065,0.788690476190476,0
188,432995,34.034443,-118.264257,08:33,08:34,Food & Drink Shop,426,9508.746,0.633928571428571,0
189,432995,34.034443,-118.264257,08:34,08:35,Middle School,307,6852.547,0.456845238095238,0
190,432995,34.034443,-118.264257,08:38,08:39,Automotive Shop,416,9285.536,0.619047619047619,0
191,432995,34.034443,-118.264257,08:39,08:40,Cupcake Shop,568,12678.328,0.845238095238095,0
192,432995,34.034443,-118.264257,08:42,08:43,Video Store,187,4174.027,0.27827380952381,0
193,432995,34.034443,-118.264257,08:43,08:44,Laundry Service,284,6339.164,0.422619047619048,0
194,432995,34.034443,-118.264257,08:47,08:48,Latin American Restaurant,303,6763.263,0.450892857142857,0
195,432995,34.034443,-118.264257,08:50,08:51,Art Gallery,476,10624.796,0.708333333333333,0
196,432995,34.034443,-118.264257,08:53,08:54,Ramen / Noodle House,657,14664.897,0.977678571428571,0
197,432995,34.034443,-118.264257,08:54,08:55,Tapas Restaurant,408,9106.968,0.607142857142857,0
198,432995,34.034443,-118.264257,08:56,08:57,Italian Restaurant,209,4665.089,0.311011904761905,0
199,432995,34.034443,-118.264257,08:57,08:58,Park,576,12856.896,0.857142857142857,0
200,432995,34.034443,-118.264257,09:00,09:01,Harbor / Marina,459,10245.339,0.683035714285714,0
201,432995,34.034443,-118.264257,09:01,09:02,Fair,555,12388.155,0.825892857142857,0
202,432995,34.034443,-118.264257,09:04,09:05,Pet Store,339,7566.819,1.51339285714286,0
203,432995,34.034443,-118.264257,09:05,09:06,Burrito Place,375,8370.375,0.558035714285714,0
204,432995,34.034443,-118.264257,09:08,09:09,Racetrack,197,4397.237,0.293154761904762,0
205,432995,34.034443,-118.264257,09:12,09:13,French Restaurant,249,5557.929,0.370535714285714,0
206,432995,34.034443,-118.264257,09:14,09:15,Sushi Restaurant,286,6383.806,0.425595238095238,0
207,432995,34.034443,-118.264257,09:21,09:22,Ice Cream Shop,657,14664.897,0.977678571428571,0
208,432995,34.034443,-118.264257,09:26,09:27,Cemetery,514,11472.994,0.764880952380952,0
209,432995,34.034443,-118.264257,09:35,09:36,Sushi Restaurant,342,7633.782,0.508928571428571,0
210,432995,34.034443,-118.264257,09:36,09:37,City,494,11026.574,0.735119047619048,0
211,432995,34.034443,-118.264257,09:37,09:38,Fast Food Restaurant,315,7031.115,0.46875,0
212,432995,34.034443,-118.264257,09:38,09:39,Sporting Goods Shop,334,7455.214,0.49702380952381,0
213,432995,34.034443,-118.264257,09:41,09:42,Salon / Barbershop,263,5870.423,0.391369047619048,0
214,432995,34.034443,-118.264257,09:44,09:45,Nightlife Spot,463,10334.623,0.688988095238095,0
215,432995,34.034443,-118.264257,09:45,09:46,Furniture / Home Store,318,7098.078,0.473214285714286,0
216,432995,34.034443,-118.264257,09:46,09:47,Cajun / Creole Restaurant,504,11249.784,0.75,0
217,432995,34.034443,-118.264257,09:51,09:52,Snack Place,468,10446.228,0.696428571428571,0
218,432995,34.034443,-118.264257,09:52,09:53,College Academic Building,401,8950.721,1.19345238095238,0
219,432995,34.034443,-118.264257,09:58,09:59,Design Studio,670,14955.07,0.99702380952381,0
220,432995,34.034443,-118.264257,10:01,10:02,Ski Area,173,3861.533,0.257440476190476,0
221,432995,34.034443,-118.264257,10:03,10:04,Convenience Store,446,9955.166,0.663690476190476,0
222,432995,34.034443,-118.264257,10:04,10:05,Community College,497,11093.537,1.47916666666667,0
223,432995,34.034443,-118.264257,10:06,10:07,Residential Building (Apartment / Condo),121,2700.841,0.180059523809524,0
224,432995,34.034443,-118.264257,10:19,10:20,Performing Arts Venue,188,4196.348,0.279761904761905,0
225,432995,34.034443,-118.264257,10:20,10:21,Government Building,639,14263.119,0.950892857142857,0
226,432995,34.034443,-118.264257,10:21,10:22,Gift Shop,113,2522.273,0.168154761904762,0
227,432995,34.034443,-118.264257,10:24,10:25,Mexican Restaurant,215,4799.015,0.319940476190476,0
228,432995,34.034443,-118.264257,10:26,10:27,Historic Site,249,5557.929,0.370535714285714,0
229,432995,34.034443,-118.264257,10:27,10:28,Synagogue,395,8816.795,0.587797619047619,0
230,432995,34.034443,-118.264257,10:29,10:30,Animal Shelter,646,14419.366,0.961309523809524,0
231,432995,34.034443,-118.264257,10:31,10:32,Design Studio,356,7946.276,0.529761904761905,0
232,432995,34.034443,-118.264257,10:32,10:33,College Academic Building,400,8928.4,0.595238095238095,0
233,432995,34.034443,-118.264257,10:33,10:34,Storage Facility,223,4977.583,0.331845238095238,0
234,432995,34.034443,-118.264257,10:34,10:35,Gym / Fitness Center,346,7723.066,0.514880952380952,0
235,432995,34.034443,-118.264257,10:35,10:36,Office,582,12990.822,0.866071428571429,0
236,432995,34.034443,-118.264257,10:40,10:41,Library,469,10468.549,0.697916666666667,0
237,432995,34.034443,-118.264257,10:43,10:44,Outdoors & Recreation,457,10200.697,0.680059523809524,0
238,432995,34.034443,-118.264257,10:45,10:46,Soup Place,630,14062.23,0.9375,0
239,432995,34.034443,-118.264257,10:53,10:54,Market,371,8281.091,0.552083333333333,0
240,432995,34.034443,-118.264257,10:56,10:57,Convention Center,240,5357.04,0.357142857142857,0
241,432995,34.034443,-118.264257,10:57,10:58,American Restaurant,503,11227.463,0.748511904761905,0
242,432995,34.034443,-118.264257,10:59,11:00,Elementary School,236,5267.756,0.351190476190476,0
243,432995,34.034443,-118.264257,11:03,11:04,Fair,346,7723.066,0.514880952380952,0
244,432995,34.034443,-118.264257,11:04,11:05,Molecular Gastronomy Restaurant,137,3057.977,0.407738095238095,0
245,432995,34.034443,-118.264257,11:06,11:07,Moving Target,86,1919.606,0.12797619047619,0
246,432995,34.034443,-118.264257,11:07,11:08,Public Art,228,5089.188,0.339285714285714,0
247,432995,34.034443,-118.264257,11:08,11:09,Diner,329,7343.609,0.979166666666667,0
248,432995,34.034443,-118.264257,11:17,11:18,Distillery,412,9196.252,1.22619047619048,0
249,432995,34.034443,-118.264257,11:20,11:21,Spanish Restaurant,144,3214.224,0.214285714285714,0
250,432995,34.034443,-118.264257,11:21,11:22,Outdoors & Recreation,201,4486.521,0.299107142857143,0
251,432995,34.034443,-118.264257,11:22,11:23,Spiritual Center,354,7901.634,0.526785714285714,0
252,432995,34.034443,-118.264257,11:24,11:25,Gas Station / Garage,671,14977.391,0.998511904761905,0
253,432995,34.034443,-118.264257,11:29,11:30,Café,629,14039.909,0.936011904761905,0
254,432995,34.034443,-118.264257,11:30,11:31,Plaza,126,2812.446,0.1875,0
255,432995,34.034443,-118.264257,11:32,11:33,Sculpture Garden,395,8816.795,1.17559523809524,0
256,432995,34.034443,-118.264257,11:35,11:36,Science Museum,206,4598.126,0.306547619047619,0
257,432995,34.034443,-118.264257,11:37,11:38,Seafood Restaurant,267,5959.707,0.794642857142857,0
258,432995,34.034443,-118.264257,11:42,11:43,Video Game Store,362,8080.202,0.538690476190476,0
259,432995,34.034443,-118.264257,11:46,11:47,Neighborhood,667,14888.107,0.992559523809524,0
260,432995,34.034443,-118.264257,11:47,11:48,Rest Area,645,14397.045,0.959821428571429,0
261,432995,34.034443,-118.264257,11:51,11:52,Mosque,481,10736.401,1.43154761904762,0
262,432995,34.034443,-118.264257,11:52,11:53,Community College,548,12231.908,0.81547619047619,0
263,432995,34.034443,-118.264257,12:00,12:01,Garden Center,387,8638.227,0.575892857142857,0
264,432995,34.034443,-118.264257,12:01,12:02,Internet Cafe,349,7790.029,0.519345238095238,0
265,432995,34.034443,-118.264257,12:02,12:03,Vegetarian / Vegan Restaurant,546,12187.266,0.8125,0
266,432995,34.034443,-118.264257,12:03,12:04,Mall,134,2991.014,0.398809523809524,0
267,432995,34.034443,-118.264257,12:04,12:05,Deli / Bodega,193,4307.953,0.287202380952381,0
268,432995,34.034443,-118.264257,12:06,12:07,Vegetarian / Vegan Restaurant,458,10223.018,0.681547619047619,0
269,432995,34.034443,-118.264257,12:09,12:10,Financial or Legal Service,599,13370.279,0.891369047619048,0
270,432995,34.034443,-118.264257,12:12,12:13,Neighborhood,145,3236.545,0.21577380952381,0
271,432995,34.034443,-118.264257,12:13,12:14,Spanish Restaurant,652,14553.292,0.970238095238095,0
272,432995,34.034443,-118.264257,12:22,12:23,College Stadium,178,3973.138,0.264880952380952,0
273,432995,34.034443,-118.264257,12:24,12:25,City,429,9575.709,0.638392857142857,0
274,432995,34.034443,-118.264257,12:26,12:27,Thai Restaurant,315,7031.115,1.875,0
275,432995,34.034443,-118.264257,12:27,12:28,Zoo,165,3682.965,0.245535714285714,0
276,432995,34.034443,-118.264257,12:32,12:33,Brazilian Restaurant,328,7321.288,0.976190476190476,0
277,432995,34.034443,-118.264257,12:33,12:34,Ethiopian Restaurant,360,8035.56,0.535714285714286,0
278,432995,34.034443,-118.264257,12:34,12:35,Clothing Store,281,6272.201,0.418154761904762,0
279,432995,34.034443,-118.264257,12:40,12:41,Hobby Shop,260,5803.46,0.773809523809524,0
280,432995,34.034443,-118.264257,12:41,12:42,Bike Shop,396,8839.116,1.76785714285714,0
281,432995,34.034443,-118.264257,12:42,12:43,Fraternity House,384,8571.264,0.571428571428571,0
282,432995,34.034443,-118.264257,12:43,12:44,Beer Garden,259,5781.139,0.385416666666667,0
283,432995,34.034443,-118.264257,12:44,12:45,Pizza Place,652,14553.292,0.970238095238095,0
284,432995,34.034443,-118.264257,12:46,12:47,Pet Store,257,5736.497,0.764880952380952,0
285,432995,34.034443,-118.264257,12:50,12:51,Design Studio,448,9999.808,1.33333333333333,0
286,432995,34.034443,-118.264257,12:54,12:55,Community College,337,7522.177,0.501488095238095,0
287,432995,34.034443,-118.264257,12:56,12:57,Pizza Place,203,4531.163,0.604166666666667,0
